"","NAME","gender","prc_under18E","prc_under18M","prc_over65E","prc_over65M"
"214","Boyden","Male",0.330188679245283,0.147286681968472,0.0872641509433962,0.0383735666412006
"215","Braddyville","Female",0.16,0.29398666636431,0.32,0.349446190421358
"216","Braddyville","Male",0.152173913043478,0.281327904238877,0.217391304347826,0.260988113799485
"217","Bradford CDP, Iowa","Female",0.253731343283582,0.450202865372079,0.149253731343284,0.405622981437567
"218","Bradford CDP, Iowa","Male",0.47244094488189,0.530817127589309,0.0551181102362205,0.19370350973601
"219","Bradgate","Female",0.130434782608696,0.355553394103339,0.130434782608696,0.419571381560702
"220","Bradgate","Male",0.153846153846154,0.293433855836591,0.230769230769231,0.354354387536923
"221","Brandon","Female",0.3125,0.164208477461573,0.130681818181818,0.0798605336821893
"222","Brandon","Male",0.327044025157233,0.184939194891083,0.0880503144654088,0.0611959837854065
"223","Brayton","Female",0.1,0.278657495861855,0.15,0.47977208130528
"224","Brayton","Male",0.087719298245614,0.196780154160393,0.12280701754386,0.320350097625808
"225","Breda","Female",0.176767676767677,0.0826791978396224,0.126262626262626,0.0724410307348785
"226","Breda","Male",0.170940170940171,0.0772448997825938,0.153846153846154,0.105668002369792
"227","Bridgewater","Female",0.152941176470588,0.218098683708313,0.117647058823529,0.15812050873124
"228","Bridgewater","Male",0.25,0.240671706892636,0.184210526315789,0.233061022492692
"229","Brighton","Female",0.267796610169492,0.137697435623458,0.132203389830508,0.0685889400105507
"230","Brighton","Male",0.268361581920904,0.140388597425876,0.121468926553672,0.068359878571574
"231","Bristow","Female",0.226086956521739,0.262749044395385,0.2,0.153841791416992
"232","Bristow","Male",0.0909090909090909,0.245693118823228,0.196969696969697,0.271727261212816
"233","Britt","Female",0.227934044616877,0.0856693137719327,0.335596508244423,0.0857246183793172
"234","Britt","Male",0.179573512906846,0.0756174530760731,0.264870931537598,0.0790588855839156
"235","Bronson","Female",0.220588235294118,0.135347453844885,0.169117647058824,0.0967930846415181
"236","Bronson","Male",0.223529411764706,0.1656572939911,0.0941176470588235,0.0829388306562844
"237","Brooklyn","Female",0.368778280542986,0.157130986818746,0.131221719457014,0.0603577814531101
"238","Brooklyn","Male",0.183804627249357,0.0764650947233932,0.15681233933162,0.0627108122077581
"239","Brunsville","Female",0.29,0.2160915546707,0.22,0.189318356215133
"240","Brunsville","Male",0.392405063291139,0.365952189768512,0.177215189873418,0.242494695727076
"241","Buck Grove","Female",0.12,0.730735957785026,0.12,0.809675885771585
"242","Buck Grove","Male",0.363636363636364,1.03437932008977,0.0909090909090909,2.00109252312689
"243","Buckeye","Female",0.270833333333333,0.426196714067331,0.145833333333333,0.344017327309538
"244","Buckeye","Male",0.375,0.352948656189891,0.125,0.1953125
"245","Buffalo","Female",0.193548387096774,0.0990557024478706,0.137634408602151,0.0829774723114848
"246","Buffalo","Male",0.180914512922465,0.0943295145363483,0.236580516898608,0.107267971183974
"247","Buffalo Center","Female",0.217391304347826,0.10413756125363,0.365942028985507,0.138408281556295
"248","Buffalo Center","Male",0.181818181818182,0.0831540272653913,0.244318181818182,0.109009074354318
"249","Burchinal CDP, Iowa","Female",0.214285714285714,1.30605269265256,0,1.71428571428571
"250","Burchinal CDP, Iowa","Male",0,2.85714285714286,0,3.42857142857143
"251","Burlington","Female",0.240743696137887,0.0254035057254194,0.214012128949888,0.0228487126231109
"252","Burlington","Male",0.235208118335053,0.0326542304928341,0.207430340557276,0.0263562659997391
"253","Burr Oak CDP, Iowa","Female",0.309278350515464,0.419009097094411,0.164948453608247,0.258810308942844
"254","Burr Oak CDP, Iowa","Male",0.232758620689655,0.289646966159168,0.28448275862069,0.268064792201443
"255","Burt","Female",0.189285714285714,0.108322857841143,0.242857142857143,0.140121223250909
"256","Burt","Male",0.288590604026846,0.147443276931493,0.298657718120805,0.121688635333027
"257","Bussey","Female",0.195454545454545,0.119174019382178,0.231818181818182,0.115055221742734
"258","Bussey","Male",0.247572815533981,0.19586400904597,0.179611650485437,0.125210724217693
"259","Calamus","Female",0.214659685863874,0.127190169373111,0.198952879581152,0.0844536049799536
"260","Calamus","Male",0.240566037735849,0.154875363869111,0.19811320754717,0.0962961342125836
"261","California Junction CDP, Iowa","Female",0.391304347826087,1.03346646295693,0,1.04347826086957
"262","California Junction CDP, Iowa","Male",0.384615384615385,0.958808139964916,0,0.923076923076923
"263","Callender","Female",0.339366515837104,0.217038596027641,0.131221719457014,0.0748675653727861
"264","Callender","Male",0.346153846153846,0.211653272547998,0.134615384615385,0.077384471338793
"265","Calmar","Female",0.310657596371882,0.13887290243959,0.0997732426303855,0.0604680829454359
"266","Calmar","Male",0.268101761252446,0.131299992616874,0.0998043052837573,0.0663329900514521
"267","Calumet","Female",0.41304347826087,0.301772266302474,0.184782608695652,0.136367389542446
"268","Calumet","Male",0.481927710843373,0.36727405772059,0.120481927710843,0.235811997220566
"269","Camanche","Female",0.218937275269676,0.0683287213056698,0.196564123052337,0.0590082587224556
"270","Camanche","Male",0.214985308521058,0.0709192206760536,0.231145935357493,0.0751000108098675
"271","Cambridge","Female",0.296786389413989,0.122174670489625,0.0737240075614367,0.04267340697288
"272","Cambridge","Male",0.257847533632287,0.0988591389188318,0.0874439461883408,0.0504924616905714
"273","Cantril","Female",0.191666666666667,0.126588079452877,0.241666666666667,0.149808922150399
"274","Cantril","Male",0.327777777777778,0.213798737971432,0.327777777777778,0.204048588047315
"275","Carbon","Female",0.4,0.787908624143688,0.44,0.985040100706565
"276","Carbon","Male",0,0.769230769230769,0.730769230769231,0.817024837932615
"277","Carlisle","Female",0.285372848948375,0.0656776595394791,0.121414913957935,0.0393726929252128
"278","Carlisle","Male",0.269913749365804,0.0815660261877809,0.169457128361238,0.0660670046891977
"279","Carpenter","Female",0.121951219512195,0.299908866160886,0.219512195121951,0.407632295319222
"280","Carpenter","Male",0.0727272727272727,0.292635000460124,0.0545454545454545,0.364414494276909
